# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 10 10:54:29 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_smet_err1:  Stellar Metallicity Upper Unc. [dex]
# COLUMN koi_smet_err2:  Stellar Metallicity Lower Unc. [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0000,9.488035570,2.7750000e-05,-2.7750000e-05,6.1580e+02,1.950e+01,-1.950e+01,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,93.59,29.45,-16.65,5455.00,81.00,-81.00,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,291.934230,48.141651,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.9690,54.418382700,2.4790000e-04,-2.4790000e-04,8.7480e+02,3.550e+01,-3.550e+01,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,9.11,2.87,-1.62,5455.00,81.00,-81.00,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,291.934230,48.141651,15.347
10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,19.899139950,1.4940000e-05,-1.4940000e-05,1.0829e+04,1.710e+02,-1.710e+02,14.60,3.920e+00,-1.310e+00,0.1419,,,88.96,,,638.0,,,39.30,31.04,-10.49,5853.00,158.00,-176.00,-0.1800,0.3000,-0.3000,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210,297.004820,48.134129,15.436
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.736952453,2.6300000e-07,-2.6300000e-07,8.0792e+03,1.280e+01,-1.280e+01,33.46,8.500e+00,-2.830e+00,0.0267,,,67.09,,,1395.0,,,891.96,668.95,-230.35,5805.00,157.00,-174.00,-0.5200,0.3000,-0.3000,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770,285.534610,48.285210,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0000,2.525591777,3.7610000e-06,-3.7610000e-06,6.0330e+02,1.690e+01,-1.690e+01,2.75,8.800e-01,-3.500e-01,0.0374,,,85.41,,,1406.0,,,926.16,874.33,-314.24,6031.00,169.00,-211.00,0.0700,0.2500,-0.3000,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360,288.754880,48.226200,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0000,11.094320540,2.0360000e-05,-2.0360000e-05,1.5175e+03,2.420e+01,-2.420e+01,3.90,1.270e+00,-4.200e-01,0.0992,,,88.11,,,835.0,,,114.81,112.85,-36.70,6046.00,189.00,-232.00,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,296.286130,48.224670,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0000,4.134435120,1.0460000e-05,-1.0460000e-05,6.8600e+02,1.870e+01,-1.870e+01,2.77,9.000e-01,-3.000e-01,0.0514,,,83.72,,,1160.0,,,427.65,420.33,-136.70,6046.00,189.00,-232.00,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,296.286130,48.224670,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.9920,2.566588970,1.7810000e-05,-1.7810000e-05,2.2650e+02,1.680e+01,-1.680e+01,1.59,5.200e-01,-1.700e-01,0.0374,,,82.17,,,1360.0,,,807.74,793.91,-258.20,6046.00,189.00,-232.00,-0.0800,0.2500,-0.3000,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500,296.286130,48.224670,15.714
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,7.361789580,2.1280000e-05,-2.1280000e-05,2.3370e+02,5.800e+00,-5.800e+00,39.21,6.450e+00,-9.670e+00,0.0820,,,60.92,,,1342.0,,,767.22,349.28,-365.49,6227.00,111.00,-124.00,0.0000,0.1500,-0.1500,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070,298.864350,42.151569,12.660
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0000,16.068646740,1.0880000e-05,-1.0880000e-05,4.9143e+03,3.330e+01,-3.330e+01,5.76,2.200e-01,-4.900e-01,0.1158,,,89.92,,,600.0,,,30.75,4.46,-6.66,5031.00,75.00,-83.00,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,286.999480,48.375790,15.841
